IP,SrcCount,DstCount
192.168.154.2,11,11
192.168.154.128,264,263
77.88.55.88,0,1
178.248.233.33,23,23
224.0.0.251,0,6
192.168.154.1,6,0
34.107.221.82,6,6
140.82.112.22,20,18
140.82.121.6,18,19
34.95.67.112,34,36
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,57,57
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,255,255
192.168.154.2,11,11
192.168.154.128,464,462
87.240.132.72,12,10
77.88.55.242,48,28
108.177.14.97,78,51
192.0.73.2,11,10
95.47.236.28,8,8
77.88.55.88,71,65
178.248.233.33,46,44
224.0.0.251,0,6
192.168.154.1,6,0
34.107.221.82,6,6
140.82.112.22,24,22
140.82.121.6,20,21
34.95.67.112,37,39
185.199.110.133,18,18
185.199.109.154,9,9
140.82.121.4,68,68
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,362,359
192.168.154.2,11,11
192.168.154.128,783,843
173.194.73.94,4,5
216.239.36.181,3,4
93.158.134.91,12,11
45.120.177.159,11,11
213.180.204.36,5,6
93.158.134.36,11,10
178.154.131.215,134,106
77.88.21.119,9,10
77.88.21.179,13,14
87.250.247.183,22,24
178.154.131.217,107,84
87.240.132.72,12,10
77.88.55.242,107,70
108.177.14.97,78,51
192.0.73.2,11,10
95.47.236.28,8,8
77.88.55.88,98,88
178.248.233.33,49,47
224.0.0.251,0,6
192.168.154.1,6,0
34.107.221.82,6,8
140.82.112.22,29,26
140.82.121.6,24,25
34.95.67.112,40,42
185.199.110.133,18,18
185.199.109.154,9,9
140.82.121.4,76,76
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,446,432
192.168.154.2,11,11
192.168.154.128,1230,1367
74.125.131.157,13,14
95.181.182.182,15,13
93.158.134.118,11,11
173.194.73.94,11,9
216.239.36.181,13,12
93.158.134.91,12,11
45.120.177.159,11,11
213.180.204.36,5,6
93.158.134.36,11,10
178.154.131.215,136,108
77.88.21.119,9,10
77.88.21.179,13,14
87.250.247.183,22,24
178.154.131.217,107,84
87.240.132.72,14,12
77.88.55.242,127,86
108.177.14.97,78,51
192.0.73.2,11,10
95.47.236.28,10,11
77.88.55.88,98,88
178.248.233.33,49,47
224.0.0.251,0,6
192.168.154.1,6,0
34.107.221.82,8,10
140.82.112.22,31,28
140.82.121.6,24,25
34.95.67.112,40,42
185.199.110.133,18,18
185.199.109.154,9,9
140.82.121.4,76,76
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,460,447
192.168.154.2,11,11
192.168.154.128,1322,1467
93.186.225.194,2,3
5.255.255.77,2,3
87.250.251.92,24,16
74.125.131.157,13,14
95.181.182.182,25,21
93.158.134.118,13,13
173.194.73.94,11,9
216.239.36.181,13,12
93.158.134.91,12,11
45.120.177.159,11,11
213.180.204.36,5,6
93.158.134.36,11,10
178.154.131.215,260,215
77.88.21.119,9,10
77.88.21.179,15,17
87.250.247.183,22,24
178.154.131.217,109,87
87.240.132.72,14,12
77.88.55.242,135,93
108.177.14.97,82,56
192.0.73.2,11,10
95.47.236.28,18,18
77.88.55.88,98,88
178.248.233.33,61,59
224.0.0.251,0,6
192.168.154.1,6,0
34.107.221.82,8,10
140.82.112.22,31,28
140.82.121.6,24,25
34.95.67.112,40,42
185.199.110.133,18,18
185.199.109.154,9,9
140.82.121.4,79,79
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,516,503
192.168.154.2,11,11
192.168.154.128,1557,1726
87.250.250.119,35,27
93.186.225.194,11,10
5.255.255.77,25,25
87.250.251.92,24,16
74.125.131.157,13,14
95.181.182.182,25,21
93.158.134.118,15,15
173.194.73.94,11,9
216.239.36.181,17,15
93.158.134.91,12,11
45.120.177.159,11,11
213.180.204.36,5,6
93.158.134.36,11,10
178.154.131.215,260,215
77.88.21.119,9,10
77.88.21.179,24,26
87.250.247.183,22,24
178.154.131.217,116,93
87.240.132.72,18,16
77.88.55.242,151,104
108.177.14.97,87,61
192.0.73.2,11,10
95.47.236.28,18,18
77.88.55.88,111,93
178.248.233.33,78,76
224.0.0.251,0,6
192.168.154.1,6,0
34.107.221.82,8,10
140.82.112.22,35,32
140.82.121.6,28,29
34.95.67.112,40,42
185.199.110.133,18,18
185.199.109.154,9,9
140.82.121.4,88,86
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,572,559
192.168.154.2,11,11
192.168.154.128,1746,1943
158.160.49.136,11,10
178.154.201.226,14,16
158.160.39.250,9,9
158.160.98.143,11,10
87.250.250.119,39,31
93.186.225.194,11,10
5.255.255.77,108,71
87.250.251.92,24,16
74.125.131.157,13,14
95.181.182.182,25,21
93.158.134.118,15,15
173.194.73.94,11,9
216.239.36.181,17,15
93.158.134.91,24,21
45.120.177.159,11,11
213.180.204.36,5,6
93.158.134.36,11,10
178.154.131.215,277,231
77.88.21.119,9,10
77.88.21.179,25,27
87.250.247.183,22,24
178.154.131.217,116,93
87.240.132.72,18,16
77.88.55.242,154,105
108.177.14.97,87,61
192.0.73.2,11,10
95.47.236.28,18,18
77.88.55.88,111,93
178.248.233.33,81,79
224.0.0.251,0,6
192.168.154.1,6,0
34.107.221.82,8,10
140.82.112.22,35,32
140.82.121.6,28,29
34.95.67.112,40,42
185.199.110.133,18,18
185.199.109.154,9,9
140.82.121.4,88,86
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,592,575
192.168.154.2,11,11
192.168.154.128,1888,2131
158.160.49.136,12,11
178.154.201.226,14,16
158.160.39.250,9,9
158.160.98.143,12,11
87.250.250.119,49,38
93.186.225.194,11,10
5.255.255.77,108,71
87.250.251.92,24,16
